# IPv4 signatures file (unwanted cloud services and non-human endpoints).
# Canonical link to the online version of this file: https://github.com/CIDRAM/CIDRAM/blob/master/vault/ipv4.dat


# ---
# ASN 46844 ("Sharktech").
# %Listed, Google Malware Dashboard: 37.21%.
# %Listed, CleanTalk.org: 32.62%.
# Stop Forum Spam (SFS) listings: 897.
# Updated: 2017.10.29

104.192.86.0/24 Deny Cloud
104.233.128.0/17 Deny Cloud
107.148.0.0/15 Deny Cloud
108.186.0.0/16 Deny Cloud
137.175.0.0/17 Deny Cloud
142.0.128.0/20 Deny Cloud
142.4.96.0/19 Deny Cloud
183.182.7.0/24 Deny Cloud
192.74.224.0/19 Deny Cloud
198.2.192.0/18 Deny Cloud
198.47.96.0/24 Deny Cloud
198.200.32.0/19 Deny Cloud
199.180.100.0/22 Deny Cloud
199.188.104.0/21 Deny Cloud
Tag: PEG TECH INC


# ASN 25653 ("FortressITX").
# %Listed, Google Malware Dashboard: 2.36%.
# %Listed, CleanTalk.org: 14.98%.
# Stop Forum Spam (SFS) listings: 232.
# Updated: 2016.11.29 / Checked: 2017.06.04

50.60.0.0/15 Deny Cloud
63.140.0.0/21 Deny Cloud
65.98.0.0/17 Deny Cloud
65.181.64.0/18 Deny Cloud
66.187.96.0/20 Deny Cloud
67.227.23.0/24 Deny Cloud
69.57.160.0/19 Deny Cloud
69.72.128.0/17 Deny Cloud
69.194.160.0/23 Deny Cloud
69.194.162.0/24 Deny Cloud
69.194.169.0/24 Deny Cloud
69.194.170.0/23 Deny Cloud
69.194.192.0/21 Deny Cloud
69.194.200.0/23 Deny Cloud
69.194.202.0/24 Deny Cloud
69.194.204.0/23 Deny Cloud
174.140.196.0/23 Deny Cloud
208.116.0.0/18 Deny Cloud
209.140.128.0/18 Deny Cloud
216.67.224.0/19 Deny Cloud
Tag: FortressITX


# ASN 133731 ("Royal Network Technology"), 134121 ("Rainbow Network Ltd").
# %Listed, Google Malware Dashboard: 4.55% (AS133731), 9.82% (AS134121).
# %Listed, CleanTalk.org: 25.00% (AS133731), 0% (AS134121).
